#clustering method	cluster number	cluster color	hex color	gene count	protein name	protein identifier	protein description
kmeans	2	Brown	#ffaf65	29	ITGAV	9606.ENSP00000261023	Integrin alpha-V heavy chain; The alpha-V (ITGAV) integrins are receptors for vitronectin, cytotactin, fibronectin, fibrinogen, laminin, matrix metalloproteinase- 2, osteopontin, osteomodulin, prothrombin, thrombospondin and vWF. They recognize the sequence R-G-D in a wide array of ligands. ITGAV:ITGB3 binds to fractalkine (CX3CL1) and may act as its coreceptor in CX3CR1- dependent fractalkine signaling. ITGAV:ITGB3 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling. ITGAV:ITGB3 binds to FGF1 and this binding is essential for FGF1 signaling. ITGAV:ITGB [...] 
kmeans	2	Brown	#ffaf65	29	MANF	9606.ENSP00000499582	Mesencephalic astrocyte-derived neurotrophic factor; Selectively promotes the survival of dopaminergic neurons of the ventral mid-brain. Modulates GABAergic transmission to the dopaminergic neurons of the substantia nigra (By similarity). Enhances spontaneous, as well as evoked, GABAergic inhibitory postsynaptic currents in dopaminergic neurons (By similarity). Inhibits cell proliferation and endoplasmic reticulum (ER) stress-induced cell death. Retained in the ER/sarcoplasmic reticulum (SR) through association with the endoplasmic reticulum chaperone protein HSPA5 under normal conditi [...] 
kmeans	2	Brown	#ffaf65	29	MPI	9606.ENSP00000318318	Mannose-6-phosphate isomerase; Involved in the synthesis of the GDP-mannose and dolichol- phosphate-mannose required for a number of critical mannosyl transfer reactions; Belongs to the mannose-6-phosphate isomerase type 1 family.
kmeans	2	Brown	#ffaf65	29	NCAM1	9606.ENSP00000480132	Neural cell adhesion molecule 1; This protein is a cell adhesion molecule involved in neuron- neuron adhesion, neurite fasciculation, outgrowth of neurites, etc.
kmeans	2	Brown	#ffaf65	29	NCAM2	9606.ENSP00000383392	Neural cell adhesion molecule 2; May play important roles in selective fasciculation and zone- to-zone projection of the primary olfactory axons.
kmeans	2	Brown	#ffaf65	29	NCAN	9606.ENSP00000252575	Neurocan core protein; May modulate neuronal adhesion and neurite growth during development by binding to neural cell adhesion molecules (NG-CAM and N- CAM). Chondroitin sulfate proteoglycan; binds to hyaluronic acid; Belongs to the aggrecan/versican proteoglycan family.
kmeans	2	Brown	#ffaf65	29	NEFL	9606.ENSP00000482169	Neurofilament light polypeptide; Neurofilaments usually contain three intermediate filament proteins: L, M, and H which are involved in the maintenance of neuronal caliber.
kmeans	2	Brown	#ffaf65	29	NPTXR	9606.ENSP00000327545	Neuronal pentraxin receptor; May be involved in mediating uptake of synaptic material during synapse remodeling or in mediating the synaptic clustering of AMPA glutamate receptors at a subset of excitatory synapses.
kmeans	2	Brown	#ffaf65	29	NRCAM	9606.ENSP00000368314	Neuronal cell adhesion molecule; Cell adhesion protein that is required for normal responses to cell-cell contacts in brain and in the peripheral nervous system. Plays a role in neurite outgrowth in response to contactin binding. Plays a role in mediating cell-cell contacts between Schwann cells and axons. Plays a role in the formation and maintenance of the nodes of Ranvier on myelinated axons. Nodes of Ranvier contain clustered sodium channels that are crucial for the saltatory propagation of action potentials along myelinated axons. During development, nodes of Ranvier are formed by [...] 
kmeans	2	Brown	#ffaf65	29	OMG	9606.ENSP00000247271	Oligodendrocyte-myelin glycoprotein; Cell adhesion molecule contributing to the interactive process required for myelination in the central nervous system.
kmeans	2	Brown	#ffaf65	29	PODXL2	9606.ENSP00000345359	Podocalyxin-like protein 2; Acts as a ligand for vascular selectins. Mediates rapid rolling of leukocytes over vascular surfaces through high affinity divalent cation-dependent interactions with E-, P- and L-selectins.
kmeans	2	Brown	#ffaf65	29	PRSS8	9606.ENSP00000319730	Prostasin heavy chain; Possesses a trypsin-like cleavage specificity with a preference for poly-basic substrates. Stimulates epithelial sodium channel (ENaC) activity through activating cleavage of the gamma subunits (SCNN1G).
kmeans	2	Brown	#ffaf65	29	PSPN	9606.ENSP00000245810	Persephin; Exhibits neurotrophic activity on mesencephalic dopaminergic and motor neurons.
kmeans	2	Brown	#ffaf65	29	PVR	9606.ENSP00000402060	Poliovirus receptor; Mediates NK cell adhesion and triggers NK cell effector functions. Binds two different NK cell receptors: CD96 and CD226. These interactions accumulates at the cell-cell contact site, leading to the formation of a mature immunological synapse between NK cell and target cell. This may trigger adhesion and secretion of lytic granules and IFN-gamma and activate cytoxicity of activated NK cells. May also promote NK cell-target cell modular exchange, and PVR transfer to the NK cell. This transfer is more important in some tumor cells expressing a lot of PVR, and may tri [...] 
kmeans	2	Brown	#ffaf65	29	SEZ6L	9606.ENSP00000248933	Seizure 6-like protein; May contribute to specialized endoplasmic reticulum functions in neurons.
kmeans	2	Brown	#ffaf65	29	TGM2	9606.ENSP00000355330	Protein-glutamine gamma-glutamyltransferase 2; Catalyzes the cross-linking of proteins, such as WDR54, and the conjugation of polyamines to proteins.
kmeans	2	Brown	#ffaf65	29	TIA1	9606.ENSP00000401371	Nucleolysin TIA-1 isoform p40; Involved in alternative pre-RNA splicing and regulation of mRNA translation by binding to AU-rich elements (AREs) located in mRNA 3' untranslated regions (3' UTRs). Possesses nucleolytic activity against cytotoxic lymphocyte target cells. May be involved in apoptosis.
kmeans	2	Brown	#ffaf65	29	TMPRSS15	9606.ENSP00000284885	Enteropeptidase non-catalytic heavy chain; Responsible for initiating activation of pancreatic proteolytic proenzymes (trypsin, chymotrypsin and carboxypeptidase A). It catalyzes the conversion of trypsinogen to trypsin which in turn activates other proenzymes including chymotrypsinogen, procarboxypeptidases, and proelastases.
kmeans	2	Brown	#ffaf65	29	TNR	9606.ENSP00000356646	Tenascin-R; Neural extracellular matrix (ECM) protein involved in interactions with different cells and matrix components. These interactions can influence cellular behavior by either evoking a stable adhesion and differentiation, or repulsion and inhibition of neurite growth. Binding to cell surface gangliosides inhibits RGD-dependent integrin-mediated cell adhesion and results in an inhibition of PTK2/FAK1 (FAK) phosphorylation and cell detachment. Binding to membrane surface sulfatides results in a oligodendrocyte adhesion and differentiation. Interaction with CNTN1 induces a repuls [...] 
kmeans	3	Dark Golden Rod	#b2ab00	26	AGER	9606.ENSP00000364210	Advanced glycosylation end product-specific receptor; Mediates interactions of advanced glycosylation end products (AGE). These are nonenzymatically glycosylated proteins which accumulate in vascular tissue in aging and at an accelerated rate in diabetes. Acts as a mediator of both acute and chronic vascular inflammation in conditions such as atherosclerosis and in particular as a complication of diabetes. AGE/RAGE signaling plays an important role in regulating the production/expression of TNF-alpha, oxidative stress, and endothelial dysfunction in type 2 diabetes. Interaction with S1 [...] 
kmeans	3	Dark Golden Rod	#b2ab00	26	AGRP	9606.ENSP00000290953	Agouti-related protein; Plays a role in weight homeostasis. Involved in the control of feeding behavior through the central melanocortin system. Acts as alpha melanocyte-stimulating hormone antagonist by inhibiting cAMP production mediated by stimulation of melanocortin receptors within the hypothalamus and adrenal gland. Has very low activity with MC5R (By similarity). Is an inverse agonist for MC3R and MC4R being able to suppress their constitutive activity. It promotes MC3R and MC4R endocytosis in an arrestin-dependent manner.
kmeans	3	Dark Golden Rod	#b2ab00	26	AKT3	9606.ENSP00000500582	RAC-gamma serine/threonine-protein kinase; AKT3 is one of 3 closely related serine/threonine-protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT3 is the least studied AKT isoform. It plays an important role in brain development and is crucial fo [...] 
kmeans	3	Dark Golden Rod	#b2ab00	26	ANKRD54	9606.ENSP00000215941	Ankyrin repeat domain-containing protein 54; Plays an important role in regulating intracellular signaling events associated with erythroid terminal differentiation.
kmeans	3	Dark Golden Rod	#b2ab00	26	BAG3	9606.ENSP00000358081	BAG family molecular chaperone regulator 3; Co-chaperone for HSP70 and HSC70 chaperone proteins. Acts as a nucleotide-exchange factor (NEF) promoting the release of ADP from the HSP70 and HSC70 proteins thereby triggering client/substrate protein release. Nucleotide release is mediated via its binding to the nucleotide-binding domain (NBD) of HSPA8/HSC70 where as the substrate release is mediated via its binding to the substrate-binding domain (SBD) of HSPA8/HSC70. Has anti- apoptotic activity. Plays a role in the HSF1 nucleocytoplasmic transport.
kmeans	3	Dark Golden Rod	#b2ab00	26	BANK1	9606.ENSP00000320509	B-cell scaffold protein with ankyrin repeats; Involved in B-cell receptor (BCR)-induced Ca(2+) mobilization from intracellular stores. Promotes Lyn-mediated phosphorylation of IP3 receptors 1 and 2.
kmeans	3	Dark Golden Rod	#b2ab00	26	CASP2	9606.ENSP00000312664	Caspase-2 subunit p12; Involved in the activation cascade of caspases responsible for apoptosis execution. Might function by either activating some proteins required for cell death or inactivating proteins necessary for cell survival. Associates with PIDD1 and CRADD to form the PIDDosome, a complex that activates CASP2 and triggers apoptosis in response to genotoxic stress.
kmeans	3	Dark Golden Rod	#b2ab00	26	CASP3	9606.ENSP00000311032	Caspase-3 subunit p12; Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond. Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop-helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin. Triggers cell adhesion in sympathetic neurons through RET cleavage.
kmeans	3	Dark Golden Rod	#b2ab00	26	DBNL	9606.ENSP00000417653	Drebrin-like protein; Adapter protein that binds F-actin and DNM1, and thereby plays a role in receptor-mediated endocytosis. Plays a role in the reorganization of the actin cytoskeleton, formation of cell projections, such as neurites, in neuron morphogenesis and synapse formation via its interaction with WASL and COBL. Does not bind G-actin and promote actin polymerization by itself. Required for the formation of organized podosome rosettes (By similarity). May act as a common effector of antigen receptor-signaling pathways in leukocytes. Acts as a key component of the immunological  [...] 
kmeans	3	Dark Golden Rod	#b2ab00	26	FADD	9606.ENSP00000301838	FAS-associated death domain protein; Apoptotic adaptor molecule that recruits caspase-8 or caspase-10 to the activated Fas (CD95) or TNFR-1 receptors. The resulting aggregate called the death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation. Active caspase-8 initiates the subsequent cascade of caspases mediating apoptosis. Involved in interferon-mediated antiviral immune response, playing a role in the positive regulation of interferon signaling.
kmeans	3	Dark Golden Rod	#b2ab00	26	FCRL1	9606.ENSP00000357158	Fc receptor-like protein 1; May function as an activating coreceptor in B-cells. May function in B-cells activation and differentiation.
kmeans	3	Dark Golden Rod	#b2ab00	26	FOXO1	9606.ENSP00000368880	Forkhead box protein O1; Transcription factor that is the main target of insulin signaling and regulates metabolic homeostasis in response to oxidative stress. Binds to the insulin response element (IRE) with consensus sequence 5'-TT[G/A]TTTTG-3' and the related Daf-16 family binding element (DBE) with consensus sequence 5'-TT[G/A]TTTAC-3'. Activity suppressed by insulin. Main regulator of redox balance and osteoblast numbers and controls bone mass. Orchestrates the endocrine function of the skeleton in regulating glucose metabolism. Acts synergistically with ATF4 to suppress osteocalc [...] 
kmeans	3	Dark Golden Rod	#b2ab00	26	HAVCR1	9606.ENSP00000487363	Hepatitis A virus cellular receptor 1; May play a role in T-helper cell development and the regulation of asthma and allergic diseases. Receptor for TIMD4 (By similarity). May play a role in kidney injury and repair. (Microbial infection) Acts as a receptor for Ebolavirus and Marburg virus by binding exposed phosphatidyl-serine at the surface of virion membrane; Belongs to the immunoglobulin superfamily. TIM family.
kmeans	3	Dark Golden Rod	#b2ab00	26	IGFBP4	9606.ENSP00000269593	Insulin-like growth factor-binding protein 4; IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors.
kmeans	3	Dark Golden Rod	#b2ab00	26	IRAK4	9606.ENSP00000479889	Interleukin-1 receptor-associated kinase 4; Serine/threonine-protein kinase that plays a critical role in initiating innate immune response against foreign pathogens. Involved in Toll-like receptor (TLR) and IL-1R signaling pathways. Is rapidly recruited by MYD88 to the receptor- signaling complex upon TLR activation to form the Myddosome together with IRAK2. Phosphorylates initially IRAK1, thus stimulating the kinase activity and intensive autophosphorylation of IRAK1. Phosphorylates E3 ubiquitin ligases Pellino proteins (PELI1, PELI2 and PELI3) to promote pellino-mediated polyubiquit [...] 
kmeans	3	Dark Golden Rod	#b2ab00	26	MGMT	9606.ENSP00000302111	Methylated-DNA--protein-cysteine methyltransferase; Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction: the enzyme is irreversibly inactivated; Belongs to the MGMT family.
kmeans	3	Dark Golden Rod	#b2ab00	26	MSTN	9606.ENSP00000260950	Growth/differentiation factor 8; Acts specifically as a negative regulator of skeletal muscle growth; Belongs to the TGF-beta family.
kmeans	3	Dark Golden Rod	#b2ab00	26	MZB1	9606.ENSP00000303920	Marginal zone B- and B1-cell-specific protein; Associates with immunoglobulin M (IgM) heavy and light chains and promotes IgM assembly and secretion. May exert its effect by acting as a molecular chaperone or as an oxidoreductase as it displays a low level of oxidoreductase activity (By similarity). Isoform 2 may be involved in regulation of apoptosis. Helps to diversify peripheral B- cell functions by regulating Ca(2+) stores, antibody secretion and integrin activation; Belongs to the MZB1 family.
kmeans	3	Dark Golden Rod	#b2ab00	26	NFATC1	9606.ENSP00000389377	Nuclear factor of activated T-cells, cytoplasmic 1; Plays a role in the inducible expression of cytokine genes in T-cells, especially in the induction of the IL-2 or IL-4 gene transcription. Also controls gene expression in embryonic cardiac cells. Could regulate not only the activation and proliferation but also the differentiation and programmed death of T-lymphocytes as well as lymphoid and non-lymphoid cells. Required for osteoclastogenesis and regulates many genes important for osteoclast differentiation and function (By similarity).
kmeans	3	Dark Golden Rod	#b2ab00	26	ROR1	9606.ENSP00000360120	Inactive tyrosine-protein kinase transmembrane receptor ROR1; Has very low kinase activity in vitro and is unlikely to function as a tyrosine kinase in vivo. Receptor for ligand WNT5A which activate downstream NFkB signaling pathway and may result in the inhibition of WNT3A-mediated signaling. In inner ear, crucial for spiral ganglion neurons to innervate auditory hair cells.
kmeans	3	Dark Golden Rod	#b2ab00	26	SFTPD	9606.ENSP00000361366	Pulmonary surfactant-associated protein D; Contributes to the lung's defense against inhaled microorganisms, organic antigens and toxins. Interacts with compounds such as bacterial lipopolysaccharides, oligosaccharides and fatty acids and modulates leukocyte action in immune response. May participate in the extracellular reorganization or turnover of pulmonary surfactant. Binds strongly maltose residues and to a lesser extent other alpha- glucosyl moieties.
kmeans	3	Dark Golden Rod	#b2ab00	26	STK24	9606.ENSP00000365730	Serine/threonine-protein kinase 24 12 kDa subunit; Serine/threonine-protein kinase that acts on both serine and threonine residues and promotes apoptosis in response to stress stimuli and caspase activation. Mediates oxidative-stress-induced cell death by modulating phosphorylation of JNK1-JNK2 (MAPK8 and MAPK9), p38 (MAPK11, MAPK12, MAPK13 and MAPK14) during oxidative stress. Plays a role in a staurosporine-induced caspase-independent apoptotic pathway by regulating the nuclear translocation of AIFM1 and ENDOG and the DNase activity associated with ENDOG. Phosphorylates STK38L on 'Thr [...] 
kmeans	3	Dark Golden Rod	#b2ab00	26	TCL1A	9606.ENSP00000451506	T-cell leukemia/lymphoma protein 1A; Enhances the phosphorylation and activation of AKT1, AKT2 and AKT3. Promotes nuclear translocation of AKT1. Enhances cell proliferation, stabilizes mitochondrial membrane potential and promotes cell survival. Belongs to the TCL1 family.
kmeans	3	Dark Golden Rod	#b2ab00	26	UMOD	9606.ENSP00000379438	Uromodulin, secreted form; [Uromodulin]: Functions in biogenesis and organization of the apical membrane of epithelial cells of the thick ascending limb of Henle's loop (TALH), where it promotes formation of complex filamentous gel-like structure that may play a role in the water barrier permeability (Probable). May serve as a receptor for binding and endocytosis of cytokines (IL-1, IL-2) and TNF. Facilitates neutrophil migration across renal epithelia.
kmeans	3	Dark Golden Rod	#b2ab00	26	WFIKKN1	9606.ENSP00000324763	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1; Protease-inhibitor that contains multiple distinct protease inhibitor domains. Probably has serine protease- and metalloprotease- inhibitor activity (By similarity).
kmeans	3	Dark Golden Rod	#b2ab00	26	WFIKKN2	9606.ENSP00000311184	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2; Protease-inhibitor that contains multiple distinct protease inhibitor domains. Probably has serine protease- and metalloprotease- inhibitor activity. Inhibits the biological activity of mature myostatin, but not activin (By similarity); Belongs to the WFIKKN family.
kmeans	4	Green Yellow	#bbff65	13	AHSP	9606.ENSP00000307199	Alpha-hemoglobin-stabilizing protein; Acts as a chaperone to prevent the harmful aggregation of alpha-hemoglobin during normal erythroid cell development. Specifically protects free alpha-hemoglobin from precipitation. It is predicted to modulate pathological states of alpha-hemoglobin excess such as beta- thalassemia; Belongs to the AHSP family.
kmeans	4	Green Yellow	#bbff65	13	BLVRB	9606.ENSP00000263368	Flavin reductase (NADPH); Broad specificity oxidoreductase that catalyzes the NADPH- dependent reduction of a variety of flavins, such as riboflavin, FAD or FMN, biliverdins, methemoglobin and PQQ (pyrroloquinoline quinone). Contributes to heme catabolism and metabolizes linear tetrapyrroles. Can also reduce the complexed Fe(3+) iron to Fe(2+) in the presence of FMN and NADPH. In the liver, converts biliverdin to bilirubin.
kmeans	4	Green Yellow	#bbff65	13	CA1	9606.ENSP00000430656	Carbonic anhydrase 1; Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea.
kmeans	4	Green Yellow	#bbff65	13	CA13	9606.ENSP00000318912	Carbonic anhydrase 13; Reversible hydration of carbon dioxide; Belongs to the alpha-carbonic anhydrase family.
kmeans	4	Green Yellow	#bbff65	13	CA2	9606.ENSP00000285379	Carbonic anhydrase 2; Essential for bone resorption and osteoclast differentiation (By similarity). Reversible hydration of carbon dioxide. Can hydrate cyanamide to urea. Involved in the regulation of fluid secretion into the anterior chamber of the eye. Contributes to intracellular pH regulation in the duodenal upper villous epithelium during proton- coupled peptide absorption. Stimulates the chloride-bicarbonate exchange activity of SLC26A6.
kmeans	4	Green Yellow	#bbff65	13	CA3	9606.ENSP00000285381	Carbonic anhydrase 3; Reversible hydration of carbon dioxide.
kmeans	4	Green Yellow	#bbff65	13	FKBP1B	9606.ENSP00000370373	Peptidyl-prolyl cis-trans isomerase FKBP1B; Has the potential to contribute to the immunosuppressive and toxic effects of FK506 and rapamycin. PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides; Belongs to the FKBP-type PPIase family. FKBP1 subfamily.
kmeans	4	Green Yellow	#bbff65	13	FKBP7	9606.ENSP00000413152	Peptidyl-prolyl cis-trans isomerase FKBP7; PPIases accelerate the folding of proteins during protein synthesis.
kmeans	4	Green Yellow	#bbff65	13	HAGH	9606.ENSP00000380514	Hydroxyacylglutathione hydrolase, mitochondrial; Thiolesterase that catalyzes the hydrolysis of S-D-lactoyl- glutathione to form glutathione and D-lactic acid.
kmeans	4	Green Yellow	#bbff65	13	HMBS	9606.ENSP00000498786	Porphobilinogen deaminase; Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps; Belongs to the HMBS family.
kmeans	4	Green Yellow	#bbff65	13	HMOX2	9606.ENSP00000477572	Heme oxygenase 2; Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin. Biliverdin is subsequently converted to bilirubin by biliverdin reductase. Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where senescent erythrocytes are sequestrated and destroyed. Heme oxygenase 2 could be implicated in the production of carbon monoxide in brain where it could act as a neurotransmitter.
kmeans	4	Green Yellow	#bbff65	13	PIGR	9606.ENSP00000348888	Polymeric immunoglobulin receptor; This receptor binds polymeric IgA and IgM at the basolateral surface of epithelial cells. The complex is then transported across the cell to be secreted at the apical surface. During this process a cleavage occurs that separates the extracellular (known as the secretory component) from the transmembrane segment.
kmeans	4	Green Yellow	#bbff65	13	PPIB	9606.ENSP00000300026	Peptidyl-prolyl cis-trans isomerase B; PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding.
kmeans	5	Green 2	#0eb200	8	AGXT	9606.ENSP00000302620	Alanine--glyoxylate and serine--pyruvate aminotransferase.
kmeans	5	Green 2	#0eb200	8	AK1	9606.ENSP00000223836	Adenylate kinase isoenzyme 1; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Also displays broad nucleoside diphosphate kinase activity. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism.
kmeans	5	Green 2	#0eb200	8	F9	9606.ENSP00000218099	Coagulation factor IXa heavy chain; Factor IX is a vitamin K-dependent plasma protein that participates in the intrinsic pathway of blood coagulation by converting factor X to its active form in the presence of Ca(2+) ions, phospholipids, and factor VIIIa. Belongs to the peptidase S1 family.
kmeans	5	Green 2	#0eb200	8	HAO1	9606.ENSP00000368066	Hydroxyacid oxidase 1; Has 2-hydroxyacid oxidase activity. Most active on the 2- carbon substrate glycolate, but is also active on 2-hydroxy fatty acids, with high activity towards 2-hydroxy palmitate and 2-hydroxy octanoate.
kmeans	5	Green 2	#0eb200	8	PKLR	9606.ENSP00000339933	Pyruvate kinase PKLR; Plays a key role in glycolysis.
kmeans	5	Green 2	#0eb200	8	RBKS	9606.ENSP00000306817	Ribokinase; Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5-phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway. Belongs to the carbohydrate kinase PfkB family. Ribokinase subfamily.
kmeans	5	Green 2	#0eb200	8	RRM2B	9606.ENSP00000251810	Ribonucleoside-diphosphate reductase subunit M2 B; Plays a pivotal role in cell survival by repairing damaged DNA in a p53/TP53-dependent manner. Supplies deoxyribonucleotides for DNA repair in cells arrested at G1 or G2. Contains an iron-tyrosyl free radical center required for catalysis. Forms an active ribonucleotide reductase (RNR) complex with RRM1 which is expressed both in resting and proliferating cells in response to DNA damage. Belongs to the ribonucleoside diphosphate reductase small chain family.
kmeans	5	Green 2	#0eb200	8	TYMP	9606.ENSP00000379038	Thymidine phosphorylase; May have a role in maintaining the integrity of the blood vessels. Has growth promoting activity on endothelial cells, angiogenic activity in vivo and chemotactic activity on endothelial cells in vitro.
kmeans	6	Green	#65ffa3	8	AXIN1	9606.ENSP00000262320	Axin-1; Component of the beta-catenin destruction complex required for regulating CTNNB1 levels through phosphorylation and ubiquitination, and modulating Wnt-signaling. Controls dorsoventral patterning via two opposing effects; down-regulates CTNNB1 to inhibit the Wnt signaling pathway and ventralize embryos, but also dorsalizes embryos by activating a Wnt- independent JNK signaling pathway. In Wnt signaling, probably facilitates the phosphorylation of CTNNB1 and APC by GSK3B. Likely to function as a tumor suppressor. Enhances TGF-beta signaling by recruiting the RNF111 E3 ubiquitin l [...] 
kmeans	6	Green	#65ffa3	8	CDH6	9606.ENSP00000265071	Cadherin-6; Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types.
kmeans	6	Green	#65ffa3	8	DAB2	9606.ENSP00000313391	Disabled homolog 2; Adapter protein that functions as clathrin-associated sorting protein (CLASP) required for clathrin-mediated endocytosis of selected cargo proteins. Can bind and assemble clathrin, and binds simultaneously to phosphatidylinositol 4,5-bisphosphate (PtdIns(4,5)P2) and cargos containing non-phosphorylated NPXY internalization motifs, such as the LDL receptor, to recruit them to clathrin-coated pits. Can function in clathrin-mediated endocytosis independently of the AP-2 complex. Involved in endocytosis of integrin beta-1; this function seems to redundant with the AP-2  [...] 
kmeans	6	Green	#65ffa3	8	DKK3	9606.ENSP00000433112	Dickkopf-related protein 3; Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6. DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease (By similarity); Belongs to the dickkopf family.
kmeans	6	Green	#65ffa3	8	MESD	9606.ENSP00000261758	LRP chaperone MESD; Chaperone specifically assisting the folding of beta- propeller/EGF modules within the family of low-density lipoprotein receptors (LDLRs). Acts as a modulator of the Wnt pathway through chaperoning the coreceptors of the canonical Wnt pathway, LRP5 and LRP6, to the plasma membrane. Essential for specification of embryonic polarity and mesoderm induction. Plays an essential role in neuromuscular junction (NMJ) formation by promoting cell-surface expression of LRP4 (By similarity). May regulate phagocytosis of apoptotic retinal pigment epithelium (RPE) cells (By simi [...] 
kmeans	6	Green	#65ffa3	8	NUB1	9606.ENSP00000454264	NEDD8 ultimate buster 1; Specific down-regulator of the NEDD8 conjugation system. Recruits NEDD8, UBD, and their conjugates to the proteasome for degradation. Isoform 1 promotes the degradation of NEDD8 more efficiently than isoform 2.
kmeans	6	Green	#65ffa3	8	PSMD9	9606.ENSP00000440485	26S proteasome non-ATPase regulatory subunit 9; Acts as a chaperone during the assembly of the 26S proteasome, specifically of the base subcomplex of the PA700/19S regulatory complex (RC). During the base subcomplex assembly is part of an intermediate PSMD9:PSMC6:PSMC3 module, also known as modulator trimer complex; PSMD9 is released during the further base assembly process.
kmeans	6	Green	#65ffa3	8	SOST	9606.ENSP00000301691	Sclerostin; Negative regulator of bone growth that acts through inhibition of Wnt signaling and bone formation.
kmeans	7	Blue	#00b29d	2	MSRA	9606.ENSP00000313921	Mitochondrial peptide methionine sulfoxide reductase; Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine.
kmeans	7	Blue	#00b29d	2	PRDX5	9606.ENSP00000265462	Peroxiredoxin-5, mitochondrial; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events; Belongs to the peroxiredoxin family. Prx5 subfamily.
kmeans	8	Light Sky Blue	#65c7ff	2	CPM	9606.ENSP00000339157	Carboxypeptidase M; Specifically removes C-terminal basic residues (Arg or Lys) from peptides and proteins. It is believed to play important roles in the control of peptide hormone and growth factor activity at the cell surface, and in the membrane-localized degradation of extracellular proteins; Belongs to the peptidase M14 family.
kmeans	8	Light Sky Blue	#65c7ff	2	THOP1	9606.ENSP00000304467	Thimet oligopeptidase; Involved in the metabolism of neuropeptides under 20 amino acid residues long. Involved in cytoplasmic peptide degradation. Able to degrade the amyloid-beta precursor protein and generate amyloidogenic fragments.
kmeans	9	Medium Blue	#001cb2	2	TBCB	9606.ENSP00000221855	Tubulin-folding cofactor B; Binds to alpha-tubulin folding intermediates after their interaction with cytosolic chaperonin in the pathway leading from newly synthesized tubulin to properly folded heterodimer. Involved in regulation of tubulin heterodimer dissociation. May function as a negative regulator of axonal growth (By similarity). Belongs to the TBCB family.
kmeans	9	Medium Blue	#001cb2	2	TBCC	9606.ENSP00000361967	Tubulin-specific chaperone C; Tubulin-folding protein; involved in the final step of the tubulin folding pathway; Belongs to the TBCC family.
kmeans	10	Purple	#9665ff	2	CGA	9606.ENSP00000482232	Glycoprotein hormones alpha chain; Shared alpha chain of the active heterodimeric glycoprotein hormones thyrotropin/thyroid stimulating hormone/TSH, lutropin/luteinizing hormone/LH, follitropin/follicle stimulating hormone/FSH and choriogonadotropin/CG. These hormones bind specific receptors on target cells that in turn activate downstream signaling pathways.
